ID,Text_sp,Text,Source,clickbait_score,pol_score,Image_Url,Cat1_HQ,Cat2_HQ_Pol,Cat,CatPol
1060,diabetes discovery leaves doctors speechless try tonight,Diabetes Discovery Leaves Doctors Speechless (Try This Tonight),Vedda Blood Sugar Protocol,1107283687.3257437,0.0007844415577684281,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15277965941115275974.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,1,0
28,baby elephant decided spend last days alongside best friend,Baby Elephant Decided To Spend His Last Days Alongside His Best Friend,World Lifestyle,876917832.6673636,2.753870806438777e-06,https://images.outbrainimg.com/transform/v3/eyJpdSI6Ijk3OTMzMGU0YzZkMGU0YWMyN2RlNDJmNDM3YTNmYjVhNmFjZjA1YWI0NmQyZjVmNjU0ZjFmYWM3ZDlmOGJmZTkiLCJ3Ijo0MDAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
0,pics fishermen discover something unusual sitting lone iceberg got closer horrified,[Pics] Fishermen Discover Something Unusual Sitting on a Lone Iceberg. When They Got Closer They Were Horrified,Science Glory,517515174.0615363,4.820993295448698e-07,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImNiZGUzNDYyYzJhNGJmMDAyMWQzYzAwYzM3ZGM0ODRlZDVjYjMyZWI3YmJlODg0YjAwNDZlZjZjMDVkZTY3OGMiLCJ3Ijo0MzQsImgiOjM3NSwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
936,pics mom mocks dirty man store front daughter reveals true identity,[Pics] Mom Mocks Dirty Man At Store In Front Of Her Daughter So He Reveals His True Identity,(Creative Timez),322273237.8858712,2.39105898991791e-12,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjY0NTE3NTIzNzE5OTAwNDU4ZTY4NmY1M2JmMmIyMjRhZTc4M2YwZmNlY2I1MWIyYTAwZWQ2YjgwNGJlNzRjZWMiLCJ3IjozMjAsImgiOjIyMCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
1414,buying dream home might easier home loan plans search home loans,Buying Your Dream Home Might Be Easier With These Home Loan Plans. Search For Home Loans,The Discount Farm | Sponsored Listings,155538073.66355264,5.84882103872867e-08,http://images.outbrainimg.com/transform/v3/eyJpdSI6IjcwZjEyZWJhYmE4MjQxYWJhZWY5NmFjMWNiMDMzNjhlOTkyYWIzZjg2ZGQ1OWRjNDI1MzZmYTRkNjRjZmE3YjEiLCJ3IjoyMTAsImgiOjE0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
395,vikings actually like photos strikingly scary,This Is What Vikings Were Actually Like. The Photos Are Strikingly Scary,Past Factory,91856267.537904,1.6496740064799293e-08,http://images.outbrainimg.com/transform/v3/eyJpdSI6ImIxOGVmZWZhMzE0MThkZTZlMWVhMzljMTcwNDkzOTVhMTdhZmM1YTRhYzdlMGZkOTUyZmYwYmJhMjYxNDUwMGMiLCJ3IjozMDAsImgiOjE2OSwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,0,0,1,0
1016,cup tonight burn belly fat,1 Cup of This (Tonight) Will Burn Your Belly Fat,The Flat Belly Fix,82716738.52149391,7.360088741040979e-10,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15365393861645230201.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,1,0
2246,melanias private quarters onboard air force one leave speechless,Melania's Private Quarters Onboard Air Force One Will Leave You Speechless!,Everydaykoala,74385527.237898,105548630.57124941,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15452130670275969300.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,1,0
1819,tablespoon tonight melts belly fat like crazy genius easy,1 Tablespoon of This (Tonight) Melts Your Belly Fat Like Crazy! (Genius & Easy),Flat Belly Fix,65601954.425230764,4.236857598633411e-09,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/022b0db756b7540187a6337631fe5af6.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,1,0
2178,best diet lazy people  safe without doctors chemistry,Best Diet for Lazy People! 100% Safe! Without Doctors And Chemistry!,Top Diet,49596888.44625282,9.727196959548073e-07,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15217846252006047231.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 220px;',0,0,1,0
1809,take one cup tonight watch body fat melt like crazy,Take One Cup of This Tonight, Watch Your Body Fat Melt Like Crazy Fat Decimator,33745804.317997776,1.1573411493217999e-10,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15420526951395820385.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 220px;',0,0,1,0
271,military discounts veterans active duty military members entitled,19 Military Discounts All Veterans And Active Duty Military Members Are Entitled To,Veterans Discount Club,18565882.044351555,0.704280893666572,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImUyMWMxMTY2YjZmMDhmYzI1ZDMwZjlmNjlhOTc2ZTFiMjJiM2ZjMzY5NzAyY2Y3MjJiYTRjMjJhMDZlMGU2MjkiLCJ3IjozMDQsImgiOjE5MywiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,1,0,1,0
207,thinning hair pour head watch happens,Thinning Hair? Pour This on Your Head and Watch What Happens,Juvetress,17666703.857241362,3.1419169132493027e-06,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15367080451507822470.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,1,0
2264,kimberly guilfoyle tragedy unfolds breaks silence departure,Kimberly Guilfoyle Tragedy Unfolds After She Breaks Silence About Departure,Health Advocate,16792963.788804267,3000575205.4708743,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15433368681466763041.png&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,1,0
1764,police officers death resulted russian roulettestyle game authorities say fellow officer charged,'Police officer's death resulted from 'Russian roulette'-style game authorities say fellow officer charged',Fox News Great-outdoors,5.5091332484120536e-08,1.4919962930979493e-06,'background-image: url('https://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_156%2Cw_280%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/https%3A//a57.foxnews.com/media.foxbusiness.com/BrightCove/854081161001/201901/1102/640/360/854081161001_5992856428001_5992854360001-vs.jpg');',1,0,1,0
105,cyborg dancer detect earthquakes,The cyborg dancer who can detect earthquakes,Style,8.26342654598787e-07,2.293704758602387e-06,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjEwOWJiNDVlMDE0ZmIwMDk1YmNhNmYyZGMyMTEyNGU2ZTI4OWRlYTA0ZThjNjBlMmEwZDkwMzExOTM3MDE5ZDgiLCJ3Ijo0MDAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,1,0,1,0
1576,nba champion sold  million bay area estate,This NBA Champion Sold His $3.19 Million Bay Area Estate,(Lonny Magazine),9.15394113851838e-06,0.0002543354874712026,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjZmMDViODFiZTcxYjg1NzU5MjZhZjEyZGRjZWIyNjQ2OWU4ZTNjZmYwNzNlMDZkODc3ZTJhN2NmNjE5YWZiZmEiLCJ3IjozMjAsImgiOjIyMCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,1,0,1,0
1745,cybercrime  ransomware rise,Cybercrime in 2019: Is Ransomware on the Rise?,InCyberDefense,4.961938022537354e-05,0.06955473500180083,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjVlNTRhMjcyZDQ5ZjJhZmRmMWRjM2FkM2ZmOTE4NzRmMDMxNWZhODM5YTlhYWYzM2M4NmYzMGM2OWUwYzExZDQiLCJ3IjoyMDYsImgiOjE3MSwiZCI6MS41LCJjcyI6MCwiZiI6NH0.webp,1,0,1,0
1702,huawei launches new serverdedicated processor chip,Huawei Launches A New Server-Dedicated Processor Chip,Huawei on Computerworld,0.00010024284723886825,9.063781155775101e-08,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImI1MjNmNDM3MDIyODg5OWZjMTZlZTM3OWRhMTY0OWM3Y2UzNGYwYjU1YjFlY2YzOTkzNDIyMjVlZDRlMTcxMDMiLCJ3Ijo0MDAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6NH0.webp,1,0,1,0
379,pics father believed son afghanistan then…,[Pics] Father Believed His Son Was In Afghanistan But Then…,Traveler Fox,0.00045604284874951445,0.001919713303606738,http://images.outbrainimg.com/transform/v3/eyJpdSI6IjVlODgzZTE4ZDRkYzM0YTc0Zjc5OGE1ODdmMzJhNjEzYjI5ZWRmZTAxMjRlNzY0M2U4NzRmNjVjOWFkMDkxNGYiLCJ3IjoxMDAsImgiOjEwMCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,0,1,0
541,easy crispy bbq chicken recipe lunch,Easy Crispy BBQ Chicken Recipe for Lunch,SHEKNOWS,0.0008195213151386885,1.2229827795933296e-08,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjAzMmIwNmM1NGI1MjdmODc5NDcwOTA5OTEwM2Y4NTEzNTYzMTUyY2Y0YTZmMDg3MjBlOTU5ZjZlNDdiMjAzOGUiLCJ3IjoyMjAsImgiOjEzNSwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,1,0,1,0
507,dell inspiron review gives best insight,This Dell Inspiron 7577 Review Gives The Best Insight,DELL ON YOUTUBE,0.0008840179102733125,0.03053853866584759,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjU4NjQzZmFkNWIwMGU0ZTM0Yzc3YjQ4MjFhMDg1YTc5ZDkwYmYyZmVmZTFmZjU4MGFmYzI1NTAwYjJhN2UzZWIiLCJ3IjoyMjAsImgiOjEzNSwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,1,0,1,0
895,experience tokyo old meets new,Experience Tokyo Where Old Meets New,Sponsored | TOKYO METROPOLITAN GOVERNMENT ON National Geographic,0.0009641337772033665,8.989325332894864e-07,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjlhYjlmY2MxNDQxNjdmYTEzMzUzNjQ0Y2M3NGY0NWU2NDYxZTVkMTNlNDNmNDRlZTY2YzFjZjc5NzhmNWIxNWUiLCJ3Ijo0MDAsImgiOjI2MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,1,0,1,0
118,trump’s cannabis promise could create  trillion marijuana wealth,Trump’s Cannabis Promise could create $1 Trillion in Marijuana wealth,Strategic Tech Investor,0.001580868270718628,21.25832946343629,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImM0YzZjYzk5NDkwYjQ3ZTY3NmE0MzBkNGIyNGFkZDFlZTg5NzQ4YzM3MTFhNjk3ZGZkNjkwNDg4ZGY2MjBkZDYiLCJ3IjoxMjQsImgiOjcyLCJkIjoxLjUsImNzIjowLCJmIjowfQ.webp,1,0,1,0
1275,driver charged deadly brooklyn crash kills,Driver Charged in Deadly Brooklyn Crash Kills Herself,(Wall Street Journal),0.0016006501562748254,7.411538464563634e-06,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImVmNjZkZTFhMjNjN2UzMzQ5N2U5YjEyMDlkYmUzZDJhZjU4MWJhYjJmMDkyOWVhODkwMThkMzc2N2MxNmI5YzQiLCJ3IjozMjAsImgiOjIyMCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,1,0,1,0
876,santa monica treehouse ocean canyon views asks…,A Santa Monica Treehouse with Ocean and Canyon Views Asks…,Sponsored | Mansion Global,0.0016381981056543778,625.6535295366378,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjFhODlkNmJjMzFlNzNjZjI4NmVjMmMxOTQ1YTc1OGEwM2U3ZmMzY2NjZWUxOTdjZjAzY2IwOTgxMjYxY2VlOTUiLCJ3Ijo0MDAsImgiOjI2MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,1,0,1,0
1908,race toward comprehensive digital relationship banks clients,The race toward a more comprehensive digital relationship between banks and clients,BBVA,0.0019063473192615606,19.96655614523244,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjNhYjYxZDIxYThiOGM4ZjgzMTQxMGEyNTM4NzAyYjk4YjI2MjhkNjNiMzQ4OGRmZjhmYTExNWY1Y2RmYTQxZDgiLCJ3IjoyMjAsImgiOjEzNSwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,1,0,1,0
28681,president trump says brett kavanaugh drinking difficulty youth contradicting kavanaughs testimony,President Trump says Brett Kavanaugh had drinking 'difficulty' in his youth contradicting Kavanaugh's own testimony, ,1.1779230124726976e-09,5.404887286139884e+16,'background-image: url('http://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_445%2Cw_800%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/https%3A//www.nydailynews.com/resizer/V0S1Vu2a8qu0XybKMRrjROIrdP8%3D/1200x0/www.trbimg.com/img-5bb28865/turbine/ny-news-kavanaugh-trump-fbi-ford-sex-assault-20181001');',0,1,0,1
47393,pelosi schumer spark laughs social media angry parents rebuttal trump address,Pelosi and Schumer spark laughs on social media for 'angry parents' rebuttal to Trump address,Fox News Politics,16864241.420122366,3.5506563078479866e+17,'background-image: url('https://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_156%2Cw_280%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/https%3A//static.foxnews.com/foxnews.com/content/uploads/2018/11/terrorist-grandpa.jpg');',0,0,0,1
47265,this new left rep gaetz predicts democratic activists house impeach trump,'This Is the New Left': Rep. Gaetz Predicts Democratic 'Activists' in House Will Impeach Trump, ,19.916656506229327,326611754445402.2,'background-image: url('http://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_423%2Cw_760%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/http%3A//insider.foxnews.com/sites/insider.foxnews.com/files/styles/780/public/The%2520Five%2520Blasts%2520Hank%2520Johnson%2527s%2520Attack%2520on%2520Trump.jpg%3Fitok%3Dzo-Ywt8_');',0,1,0,1
